"jitter","shimmer"
0.05541,0.11698
0.0642,0.12054
0.05804,0.18944
0.04337,0.11532
0.04756,0.15872
0.0334,0.10761
0.03597,0.0865
0.05166,0.10246
0.05608,0.08355
0.0359,0.09475
0.05299,0.11995
0.06034,0.12637
0.04773,0.12492
0.0362,0.07373
0.02653,0.05397
0.05375,0.1894
0.05156,0.08542
0.04107,0.18001
0.05826,0.13403
0,0
0,0
0.06629,0.08335
0.05472,0.18496
0.03279,0.07
0,0
0.0406,0.11637
0.03523,0.05114
0.04838,0.07226
0.04123,0.09534
0.04005,0.10912
0.02041,0.05081
0.04088,0.12119
0,0
0.05708,0.16349
0.05742,0.26346
0.03919,0.20349
0.05276,0.09635
0.04263,0.06532
0.06425,0.08831
0.04403,0.04477
0.04328,0.09905
0.0752,0.06636
0.04402,0.04844
0.06712,0.0714
0.06819,0.09913
0.09956,0.11951
0.04731,0.09754
0.05312,0.07443
0.03599,0.07343
0,0
0.04231,0.05733
0.05881,0.15177
0.03993,0.08746
0.03253,0.03744
0.05956,0.06526
0,0
0.03789,0.10294
0,0
0.05622,0.12419
0.04568,0.13343
0,0
0,0
0.07712,0.13381
0,0
0.03734,0.11879
0,0
0.04267,0.04363
0.0806,0.41223
0,0
0.04075,0.12977
0,0
0,0
0.05156,0.17428
0.043,0.09216
0.05405,0.10416
0.06836,0.08094
0.03932,0.09317
0.03791,0.15228
0.05254,0.09144
0.06105,0.11538
0.03745,0.10294
0.0443,0.06287
0,0
0,0
0.04445,0.11896
0.0373,0.03448
0,0
0.05361,0.20106
0.04191,0.10968
0.03217,0.12018
0,0
0.03812,0.06662
0.05736,0.2503
0.03246,0.10722
0,0
0.03006,0.0902
0,0
0.0277,0.04702
0.04437,0.11192
0.02608,0.05462
0.03971,0.08164
0.03063,0.04978
0,0
0.03031,0.122
0.0907,0.18668
0.02895,0.05302
0.05013,0.10518
0,0
0.0492,0.06691
0,0
0.05014,0.08125
0,0
0.05438,0.06521
0.05267,0.13054
0.06196,0.07695
0.04713,0.0669
0.03597,0.08986
0.06004,0.1163
0.05262,0.13478
0.04875,0.06265
0.04969,0.13381
0.04355,0.0598
0.04972,0.07027
0.05315,0.10476
0.06413,0.11497
0.03788,0.07288
0.04671,0.0896
0.04602,0.09798
0.04516,0.05343
0.02563,0.11622
0.05025,0.09363
0.04855,0.10658
0.03696,0.07141
0.07039,0.0995
0.0416,0.1347
0.03332,0.04176
0.05027,0.11686
0.0756,0.06938
0.05003,0.12937
0.07427,0.10598
0.04109,0.11629
0.04532,0.03687
0.06013,0.06638
0.04606,0.07462
0.06629,0.07256
0,0
0,0
0.05327,0.04947
0.03089,0.04046
0.03292,0.06443
0.04016,0.06801
0.02951,0.0758
0.04444,0.08948
0.04179,0.11016
0.04445,0.09175
0.04793,0.07821
0.14433,0
0.02593,0.08652
0.0749,0.26144
0.04069,0.22808
0.0626,0.1415
0,0
0.05179,0.17452
0.06556,0.17174
0.03839,0.1042
0.0465,0.11261
0.05739,0.16377
0.03893,0.11275
0.0354,0.08568
0.02386,0.05726
0.0516,0.07762
0,0
0,0
0,0
0.03706,0.14956
0,0
0.03267,0.17762
0,0
0.05004,0.15275
0.07538,0.22901
0,0
0,0
0.04857,0.13371
0.03741,0.11337
0.02486,0.08601
0.02659,0.08775
0.04147,0.14759
0.03154,0.07227
0.06316,0.16107
0.04002,0.08961
0.04142,0.04151
0,0
0.0707,0.1021
0,0
0,0
0,0
0.07345,0.13802
0.0584,0.1261
0.03464,0.22287
0.04609,0.12725
0.05592,0.06931
0.05284,0.14529
0,0
0.06139,0.18897
0.06336,0.25317
0.0453,0.18228
0.05816,0.18302
0,0
0.05295,0.15502
0,0
0.05039,0.10759
0,0
0,0
0.05714,0.18875
0.06394,0.19419
0.05486,0.1707
0,0
0.07248,0.12225
0,0
0.05978,0.13946
0.06641,0.15803
0,0
0,0
0,0
0.05212,0.15903
0.08353,0.07888
0.07879,0.29169
0.08854,0.19842
0.05665,0.2472
0.06707,0.28384
0.05414,0.13954
0.04,0.12465
0.06857,0.22066
0.04165,0.10328
0.03445,0.10932
0.049,0.11046
0.05239,0.1612
0.04969,0.20192
0.04846,0.21974
0.07625,0.341
0.05531,0.16656
0.07157,0.15645
0,0
0.06724,0.03978
0.07274,0.15091
0.04596,0.12874
0.05809,0.09699
0,0
0.06855,0.22346
0.05259,0.10563
0.04699,0.16506
0,0
0,0
0.03725,0.0805
0.05188,0.06842
0.06136,0.13892
0,0
0.04376,0.15575
0.03332,0.08595
0.05149,0.05761
0.04604,0.06855
0.03505,0.10236
0.04219,0.12901
0.04601,0.11141
0.02835,0.05428
0.03017,0.06947
0.02213,0.04895
0.05572,0.12089
0.02494,0.03359
0.03989,0.09208
0.02699,0.04319
0.05075,0.07909
0.04918,0.10475
0.02697,0.05356
0.01699,0.05705
0.02953,0.04848
0.03283,0.08924
0.02394,0.06188
0.03012,0.03986
0.02706,0.08713
0.03692,0.06001
0.02527,0.04726
0.05298,0.08373
0.03119,0.06054
0.02947,0.06984
0.03811,0.07887
0.02852,0.05151
0.03274,0.09051
0.01896,0.04396
0.0347,0.0675
0.04419,0.16512
0.05739,0.1497
0.01959,0.17392
0.06376,0.20779
0.04185,0.09865
0.04564,0.15162
0.05094,0.13402
0.04183,0.13725
0.03887,0.13183
0.05416,0.16647
0.04452,0.11267
0.04031,0.08168
0.0094,0.13194
0.03066,0.0773
0.06457,0.12251
0.04431,0.10569
0.06267,0.16505
0.04856,0.14155
0.02678,0.07569
0.02902,0.06166
0.03241,0.05173
0.06581,0.17332
0.0394,0.06881
0.03105,0.07896
0.04982,0.117
0,0
0.02971,0.03697
0.03972,0.09781
0.0294,0.18289
0,0
0.05172,0.10621
0.0737,0.15404
0.0455,0.21482
0.06263,0.19745
0.03929,0.08458
0.03282,0.09292
0.04543,0.12983
0.0388,0.05088
0.02203,0.05071
0.04547,0.02892
0,0
0.07306,0.08789
0.0538,0.23461
0,0
0.06011,0.07281
0.03737,0.29878
0.05664,0.11365
0.07484,0.10928
0.07836,0.11646
0,0
0.05092,0.13535
0.03629,0.09927
0.03552,0.0731
0.03556,0.05647
0.03593,0.14702
0.05883,0.11925
0.06774,0.12486
0.05146,0.14584
0.05452,0.1166
0.04901,0.10959
0.06771,0.06536
0.05467,0.13458
0.06532,0.12767
0.05132,0.14711
0.05907,0.12355
0.04868,0.06369
0.02396,0.06763
0.04529,0.08878
0.04038,0.1023
0.03343,0.0624
0.04436,0.1073
0,0
0,0
0.05102,0.20369
0,0
0.04778,0.10095
0.04684,0.06317
0.06095,0.06508
0.01663,0.04028
0,0
0.03099,0.07204
0.02626,0.06627
0.0291,0.03734
0,0
0.0236,0.06761
0,0
0.05192,0.11127
0.04678,0.11793
0.04651,0.14253
0,0
0.03835,0.19052
0.07056,0.40268
0.03531,0.04774
0.04419,0.06156
0.03919,0.05272
0.05668,0.22625
0.07532,0.32303
0.06112,0.09221
0.05164,0.0576
0.06188,0.1427
0.03683,0.10569
0,0
0,0
0.04907,0.09624
0.05281,0.14614
0.02093,0.11879
0.03371,0.15691
0.05727,0.18671
0,0
0.0199,0.13842
0.043,0.10019
0.02277,0.09734
0,0
0.05086,0.13207
0.06198,0.1508
0.01809,0.06441
0.03185,0.16132
0.04383,0.10346
0.02473,0.19604
0.05869,0.15088
0.1037,0.12678
0.05387,0.22132
0.05699,0.08178
0.06031,0.07759
0.04242,0.13521
0.06429,0.13005
0.06037,0.11174
0.0406,0.17289
0.0534,0.10766
0.05788,0.27081
0.06613,0.18923
0.05634,0.09336
0.03326,0.09804
0.02573,0.07423
0.03731,0.04106
0.03756,0.07584
0.01525,0.02282
0.04374,0.05424
0.02804,0.06617
0.0289,0.04469
0.05852,0.08333
0.05127,0.08898
0.04482,0.1114
0,0
0.06928,0.1343
0.07954,0.0816
0.05926,0.08509
0.0412,0.03309
0.03807,0.17072
0.0603,0.2002
0.06715,0.10204
0.03338,0.13768
0.03172,0.12975
0.06469,0.057
0.0575,0.19302
0.03438,0.1191
0.05573,0
0.04654,0.20822
0.06361,0.12284
0.048,0.24123
0.06179,0.1834
0.05032,0.16287
0.01609,0.15925
0.05566,0.16728
0.04825,0.16472
0.06041,0.15987
0.04948,0.07104
0.04822,0.21744
0,0
0,0
0.05503,0.09192
0.06108,0.07506
0.04912,0.16376
0.04209,0.04651
0.0462,0.06815
0.02293,0.02588
0.04091,0.05117
0.04488,0.07361
0.04876,0.23245
0.08022,0.09255
0.05973,0.10802
0.02569,0.05236
0.03946,0.06512
0.0377,0.09657
0,0
0.0466,0.08205
0.0468,0.11594
0.04073,0.06033
0.02213,0.08685
0.04038,0.08738
0.05088,0.09986
0.04389,0.10646
0,0
0.04179,0.07338
0,0
0.05372,0.13122
0.0373,0.08374
0.03018,0.10533
0.03364,0.13422
0.07425,0.27324
0.0369,0.13172
0.02649,0.13398
0.06962,0.17429
0.03767,0.14895
0.03865,0.11415
0.04317,0.16282
0.04895,0.12099
0.03291,0.05706
0.02878,0.04715
0.05289,0.09928
0.04804,0.06693
0.01871,0.03671
0.05796,0.07836
0.05897,0.14915
0.01973,0.06926
0.02521,0.09406
0.0589,0.11731
0.08268,0.23595
0.06252,0.13158
0.02423,0.10908
0.04705,0.09223
0.05716,0.07779
0.03709,0.19901
0.01558,0.07224
0.04362,0.09307
0.01823,0.17093
0,0
0.03534,0.15262
0.06767,0.09793
0.03086,0.1099
0.02053,0.21326
0.04501,0.13725
0.05127,0.08855
0,0
0.04361,0.24432
0.04016,0.14936
0.04434,0.08089
0.03214,0.0687
0.07063,0.25378
0,0
0.0708,0.12536
0.05683,0.14121
0.05235,0.10167
0.05529,0.14299
0.03905,0.17308
0.04759,0.15649
0.03911,0.14015
0.04842,0.113
0.04445,0.13759
0.05486,0.16198
0.04511,0.12152
0.04587,0.11628
0.0351,0.10653
0.04207,0.14338
0.05386,0.19891
0.05777,0.07894
0.03804,0.09857
0.03896,0.07299
0.04863,0.11749
0.03204,0.09189
0.04046,0.06255
0.06511,0.22551
0.0334,0.10238
0.05253,0.12508
0.04209,0.08255
0.04106,0.07541
0.03118,0.0729
0.05629,0.16613
0.05031,0.09283
0.04909,0.13631
0.04564,0.09572
0.05069,0.10581
0.04951,0.05616
0,0
0.04278,0.14322
0,0
0.02768,0.10522
0,0
0.04144,0.10126
0.02883,0.09329
0.05075,0.08142
0.05607,0.1088
0.05917,0.12957
0.06385,0.10432
0.04238,0.07449
0,0
0.07077,0.09848
0.04135,0.12111
0.06757,0.09553
0.05512,0.08782
0.07419,0.11344
0.05015,0.07417
0.02208,0.06278
0.06345,0.17044
0.07858,0.21472
0,0
0.09672,0.1754
0.04577,0.13697
0.08579,0.1403
0.03732,0.08068
0.0476,0.07455
0.05589,0.10549
0.06204,0.18932
0.04782,0.1515
0.03279,0.08012
0.03878,0.10982
0.06041,0.07992
0.02137,0.00879
0.04048,0.1037
0.03979,0.10691
0.04654,0.09595
0.03419,0.15853
0,0
0,0
0,0
0,0
0,0
0.04394,0.09484
0.03529,0.09645
0.05243,0.18743
0,0
0,0
0,0
0.04272,0.08682
0,0
0.05114,0.08828
0.05078,0.13326
0.04091,0.09299
0.05468,0.12843
0.06537,0.1161
0.0676,0.14807
0.0192,0.10012
0.04727,0.08338
0.0772,0.11733
0.03391,0.05394
0.04216,0.0613
0.04591,0.101
0.06562,0.14113
0.03358,0.05388
0.0905,0.2678
0.03758,0.07821
0.03902,0.14555
0.03594,0.06779
0,0
0.07076,0.08213
0.04886,0.0961
0,0
0.03272,0.09007
0.04866,0.07857
0.07102,0.07215
0.05966,0.1234
0.04511,0.10408
0.0224,0.06285
0.02231,0.05773
0.05365,0.06598
0,0
0.04479,0.17432
0.07891,0.17391
0,0
0.08215,0.1131
0.0656,0.05422
0.04485,0.12421
0.05833,0.11443
0.04458,0.0327
0.0811,0.13419
0,0
0.06473,0.00402
0.04919,0.09388
0.03744,0.11354
0.02859,0.08469
0.03014,0.10503
0.05037,0.05647
0.04131,0.11566
0,0
0.03022,0.02938
0.04831,0.11792
0.04222,0.07531
0.05575,0.08007
0.03443,0.07839
0.03528,0.369
0.0472,0.17677
0.0422,0.07981
0.03465,0.06275
0.03929,0.14666
0,0
0,0
0.02537,0.105
0.03633,0.05783
0.03758,0.1689
0.0458,0.06781
0.02719,0.0837
0.04143,0.09296
0,0
0.03297,0.05506
0.02966,0.04449
0.04439,0.04599
0.05397,0.13764
0.03393,0.11762
0.07333,0.19504
0.04108,0.09437
0.0504,0.13802
0.05113,0.10461
0.03182,0.11575
0.03444,0.03652
0.05468,0.0862
0.02597,0.06307
0.02853,0.1336
0.06054,0.07687
0,0
0.02027,0.02511
0.0531,0.09001
0.02957,0.11326
0.04842,0.07972
0.05175,0.12426
0.05161,0.06562
0.0276,0.14501
0.04359,0.09558
0.031,0.06892
0.04189,0.08286
0.03251,0.09199
0.04159,0.10262
0.03464,0.13186
0.06788,0.08897
0.05622,0.09318
0.02095,0.09374
0.02432,0.09485
0,0
0.01094,0.19802
0,0
0.0275,0.04766
0.02583,0.08381
0.03602,0.11763
0.03524,0.07058
0.03828,0.13335
0.01666,0.05333
0.03488,0.05688
0.02692,0.09922
0.03567,0.04345
0.03306,0.07389
0.01906,0.05431
0.03695,0.14019
0.06689,0.11867
0.03007,0.10535
0.02742,0.13835
0.04333,0.10897
0.03727,0.11857
0.05941,0.18359
0.03125,0.08935
0.05513,0.10174
0.07793,0.14847
0.0576,0.10217
0.05867,0.19461
0.04931,0.11043
0.05552,0.11371
0.02211,0.03783
0.02854,0.06622
0.02275,0.09073
0.03233,0.06168
0.02917,0.03733
0.02892,0.14842
0.04599,0.0685
0,0
0.04742,0.09057
0,0
0.04554,0.16913
0.02337,0.07864
0.06912,0.1234
0.05039,0.0896
0.02747,0.08184
0.03124,0.0763
0.01528,0.09548
0.02152,0.01829
0.04179,0.16768
0.02679,0.08088
0.03442,0.06784
0.04857,0.0859
0,0
0.02746,0.0296
0.02995,0.06895
0.03112,0.07153
0.01974,0.08912
0.05166,0.11001
0.03669,0.10979
0.02513,0.08648
0.03292,0.06402
0,0
0,0
0.05109,0.08796
0.05224,0.13968
0.04243,0.078
0.01671,0.03986
0,0
0.01441,0.17231
0,0
0.03613,0.09794
0.05205,0.11499
0,0
0.02102,0.11658
0.03267,0.12159
0.03505,0.09045
0.04363,0.03789
0.0445,0.0878
0.06485,0.15857
0,0
0.02619,0.0869
0.03898,0.10666
0.04267,0.15658
0.03917,0.11784
0.05405,0.19444
0.03401,0.08976
0,0
0,0
0.03616,0.05697
0.04364,0.14299
0.05778,0.06347
0,0
0,0
0.07246,0.13072
0.04129,0.05967
0.03753,0.11971
0.03956,0.1451
0.0412,0.06893
0.02595,0.07776
0.02923,0.09077
0.01106,0.05857
0.05012,0.07654
0.04688,0.15404
0.0788,0.10102
0.0566,0.07479
0.06142,0.07672
0.04603,0.13619
0.02644,0.15536
0,0
0.05455,0.14259
0.0559,0.10895
0.0409,0.09336
0.02358,0.07005
0.02737,0.06436
0.02993,0.06491
0.02838,0.08305
0.05453,0.0831
0.01802,0.07915
0.03696,0.10385
0.03828,0.17857
0.04366,0.19846
0.0396,0.14097
0.0402,0.1312
0.05442,0.1679
0,0
0,0
0.03714,0.2131
0.04756,0.13911
0.01927,0.13078
0.03837,0.11534
0.01608,0.05459
0.02916,0.05723
0.04603,0.23213
0.05188,0.19042
0.05239,0.12392
0,0
0.04474,0.13514
0.05171,0.10982
0.03808,0.15289
0.04431,0.14733
0.05658,0.25797
0.05137,0.10297
0.03997,0.14347
0.05736,0.19812
0,0
0.04066,0.2926
0.04182,0.17067
0.0781,0.30261
0.01207,0.04245
0.05007,0.09695
0.03937,0.1389
0.02083,0.0826
0.03815,0.13998
0.04545,0.10836
0.03791,0.06077
0.03495,0.12651
0.02139,0.18031
0,0
0.02278,0.06375
0.02565,0.12223
0.07845,0.17998
0.04315,0.11224
0.05394,0.08542
0.10388,0
0,0
0,0
0.02224,0.07268
0.03894,0.08615
0.07382,0.11759
0.02437,0.11204
0.06555,0.11937
0.04182,0.08727
0.03461,0.1515
0.0456,0.09935
0.0277,0.04166
0.03746,0.10631
0.04137,0.11446
0.03035,0.09545
0.03974,0.19079
0.04065,0.10955
0.05601,0.13347
0,0
0.03945,0.16367
0.04517,0.11996
0.03791,0.1044
0.03145,0.08
0.02912,0.10926
0.04531,0.12512
0.0228,0.06477
0.02352,0.08329
0.02966,0.11602
0.02707,0.13803
0.04017,0.07358
0.03639,0.18497
0.01998,0.06503
0.0343,0.08966
0.04478,0.11416
0.02753,0.05811
0,0
0.06929,0.23236
0.03003,0.10901
0.02925,0.15241
0.02805,0.06631
0.03081,0.13264
0.02416,0.08929
0,0
0.02276,0.0387
0.03575,0.09959
0.04473,0.09889
0.04978,0.08122
0.0281,0.09926
0.02774,0.04155
0.03499,0.07742
0,0
0.05119,0.30155
0.02986,0.06424
0.03278,0.08893
0,0
0.03417,0.06174
0.03857,0.12389
0.03645,0.0741
0.04063,0.0713
0.04848,0.17682
0.03742,0.05241
0.03364,0.06208
0.0373,0.07956
0.03455,0.09048
0.02661,0.05361
0.02611,0.05223
0.04212,0.04409
0.02471,0.06854
0.02245,0.21899
0.03505,0.12429
0.04259,0.12643
0.05386,0.13138
0.04749,0.13144
0.04767,0.11273
0.08381,0.0836
0.03142,0.09503
0.05027,0.08206
0.05025,0.10906
0.06046,0.13495
0.04486,0.09042
0.05225,0.14376
0.05584,0.09931
0.03312,0.06594
0.07664,0.15453
0,0
0.0363,0.09505
0.04083,0.08127
0.04714,0.10417
0.04442,0.1053
0.04319,0.07942
0.0421,0.08927
0.05461,0.14906
0,0
0.05135,0.11559
0.04112,0.21484
0.05757,0.10773
0.05036,0.07718
0.01873,0.03906
0.04549,0.07917
0.01623,0.0487
0.03419,0.05495
0.03277,0.09841
0.02538,0.05139
0.04546,0.07844
0.02544,0.10218
0.01883,0.07688
0.03657,0.06787
0.04387,0.06677
0.04887,0.1377
0.02828,0.22185
0,0
0.03994,0.08816
0.04657,0.08771
0.07463,0.21501
0.03075,0.08122
0.02718,0.10109
0,0
0.03813,0.09888
0.03995,0.08558
0.0356,0.11082
0.03343,0.05421
0.02413,0.07803
0.03638,0.13015
0.03917,0.11089
0.026,0.08286
0.05758,0.1409
0.05273,0.18683
0.02486,0.06324
0.04384,0.17136
0.05213,0.13342
0.05252,0.11077
0.02197,0.21781
0.03973,0.14466
0.0136,0.03214
0.07095,0.20623
0,0
0.04698,0.11025
0.02973,0.10098
0,0
0.04018,0.08326
0.04258,0.04831
0.0249,0.05692
0.05461,0.09179
0.04823,0.07127
0.0316,0.06885
0.04383,0.12996
0.03263,0.08952
0.04282,0.11314
0.03633,0.09374
0.06101,0.11305
0.04598,0.106
0.03743,0.1774
0.03593,0.10791
0.07396,0.11948
0.04295,0.09649
0.05381,0.14269
0.03564,0.10208
0.04148,0.09951
0.03991,0.06361
0.02698,0.10081
0.04111,0.15236
0.05699,0.07853
0.04263,0.07417
0.04704,0.07823
0.03829,0.15221
0.04116,0.14918
0.02447,0.02461
0.04328,0.09774
0,0
0.04965,0.1254
0.05047,0.20057
0.03461,0.14626
0.04223,0.25226
0.05218,0.23041
0.05262,0.11915
0.05257,0.12069
0.05872,0.1245
0.04805,0.09908
0.06985,0.08842
0.06439,0.16296
0.04904,0.09682
0.05169,0.13535
0.07747,0.38641
0.02923,0.08799
0.03436,0.06482
0.05337,0.108
0.05209,0.11707
0.12044,0
0.03995,0.15141
0,0
0.03675,0.14053
0.04435,0.11481
0.04362,0.09835
0.06294,0.1402
0.04812,0.07884
0.048,0.13671
0.05094,0.10089
0.04559,0.2223
0.05802,0.15162
0.05546,0.15002
0.04049,0.08721
0.04135,0.15219
0.05767,0.01381
0.05858,0.13131
0.05308,0.13584
0,0
0.03697,0.05131
0.03701,0.07956
0.04428,0.08545
0.03829,0.09024
0.04774,0.10876
0.05081,0.10272
0.05058,0.05032
0.04442,0.04222
0.03784,0.0647
0.03897,0.11259
0.05417,0.04354
0.0387,0.07143
0.05162,0.18739
0.05519,0.18001
0.03537,0.0611
0.05916,0.1506
0.05383,0.1509
0,0
0.04902,0.08239
0.03718,0.07985
0.03982,0.08306
0.0977,0.16221
0.03379,0.05941
0,0
0,0
0,0
0.02453,0.04083
0,0
0.0474,0.12691
0,0
0.04006,0.07674
0.02485,0.04829
0.03675,0.1792
0.03593,0.14064
0.04577,0.10016
0.04236,0.07449
0,0
0.03962,0.12544
0.04215,0.17406
0.0733,0.28764
0.04086,0.08845
0.04522,0.09293
0.04422,0.15705
0.03864,0.09722
0.0556,0.08351
0.04617,0.09995
0.04226,0.03517
0.05561,0.08792
0.02598,0.10147
0.05804,0.08151
0.02753,0.19593
0.0227,0.15765
0.06024,0.11088
0.03472,0.11472
0.05596,0.10094
0.05797,0.1315
0.06189,0.10809
0.03859,0.08752
0.04928,0.02694
0.05455,0.11277
0,0
0.06092,0.11057
0,0
0.05501,0.0967
0.05786,0.09907
0.04276,0.10149
0.06122,0.15694
0.04504,0.07743
