F19-R,Female,R
F40-C,Male,C
F43-C,Male,C
F48-R,Female,R
F19-C,Female,C
F40-R,Male,R
F43-R,Female,R
F48-C,Male,C
F50-C,Female,C
F25-R,Female,R
F17-C,Male,C
F14-C,Female,C
F28-C,Female,C
F44-R,Male,R
F27-R,Female,R
F25-C,Female,C
F50-R,Female,R
F17-R,Female,R
F28-R,Female,R
F14-R,Female,R
F44-C,Female,C
F27-C,Male,C
F06-R,Male,R
F58-R,Female,R
F06-C,Male,C
F58-C,Female,C
F47-C,Female,C
F08-C,Female,C
F10-R,Female,R
F13-C,Female,C
F47-R,Male,R
F08-R,Female,R
F10-C,Male,C
F13-R,Male,R
F31-R,Female,R
F32-R,Female,R
F31-C,Male,C
F32-C,Female,C
F03-R,Male,R
F49-C,Female,C
F38-R,Female,R
F01-R,Male,R
F03-C,Female,C
F38-C,Male,C
F49-R,Male,R
F01-C,Female,C
F22-R,Female,R
F57-C,Male,C
F54-C,Male,C
F21-R,Male,R
F57-R,Male,R
F22-C,Female,C
F21-C,Male,C
F54-R,Male,R
F51-C,Male,C
F36-R,Female,R
F53-R,Male,R
F34-R,Female,R
F36-C,Male,C
F53-C,Male,C
F34-C,Female,C
F42-C,Female,C
F16-R,Male,R
F18-R,Female,R
F42-R,Male,R
F16-C,Female,C
F18-C,Male,C
F12-R,Female,R
F24-R,Female,R
F29-R,Male,R
F56-C,Female,C
F23-R,Male,R
F15-C,Male,C
F45-C,Male,C
F12-C,Female,C
F29-C,Female,C
F24-C,Female,C
F51-R,Male,R
F23-C,Female,C
F56-R,Male,R
F15-R,Male,R
F45-R,Female,R
F04-R,Male,R
F09-R,Male,R
F59-R,Female,R
F07-R,Female,R
F09-C,Male,C
F04-C,Male,C
F07-C,Female,C
F59-C,Female,C
F46-C,Female,C
F11-C,Male,C
F41-C,Female,C
F46-R,Male,R
F11-R,Male,R
F41-R,Male,R
F33-R,Male,R
F35-C,Female,C
F33-C,Female,C
F35-R,Male,R
F02-R,Male,R
F05-R,Male,R
F02-C,Male,C
F05-C,Female,C
F20-R,Female,R
F55-C,Male,C
F26-C,Male,C
F55-R,Male,R
F20-C,Female,C
F26-R,Male,R
F37-R,Male,R
F30-R,Female,R
F60-C,Female,C
F52-C,Male,C
F39-C,Male,C
F37-C,Female,C
F30-C,Female,C
F60-R,Female,R
F39-R,Female,R
F52-R,Female,R